songnumber,songid,albumid,albumname,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,track_id,artist_hotttnesss,artist_mbid,artist_playmeid,artist_7digitalid,release1,release_7digitalid,song_hotttnesss,track_7digitalid,analysis_sample_rate,audio_md5,end_of_fade_in,energy,key1,key_confidence,loudness,mode1,mode_confidence,start_of_fade_out
24,SOBBUGU12A8C13E95D,223365,Miss Machine,ARMAC4T1187FB3FA4C,40.8262,Morris Plains NJ,-74.4799,The Dillinger Escape Plan,0,207.778,7,0.381,166.862,4,0,Setting Fire to Sleeping Giants,2004,TRAACER128F4290F96,0.541889,1bc41dff-5397-4c53-bb50-469d2c277197,11414,82239,Miss Machine,223365,0.666527846,2439720,22050,8c987e191b479de914ece0ece1f8fb9e,0.061,0,7,0.381,-4.264,1,0.453,204.696
26,SOPSWQW12A6D4F8781,45730,Live,ARGIWFO1187B9B55B7,0,,0,Five Bolt Main,0,225.097,7,0.53,164.672,1,0,Made Like This (Live),0,TRAACHN128F1489601,0.363651,34f4bdc2-ed51-44da-af51-7e507d9d4721,-1,14773,Live,45730,0.375984302,488005,22050,34cf2dce6d6408286cfd65a31dc60194,0,0,7,0.53,-5.908,1,0.512,225.097
29,SOBZBAZ12A6D4F8742,59744,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,40.792,New York NY [Spanish Harlem],-73.9451,Willie Bobo,0,168.254,8,0.812,127.025,4,0.792,Spanish Grease,1997,TRAACNS128F14A2DF5,0.379671,dadec058-023e-498a-b1c7-776d03cc88ce,-1,15815,Willie Bobo's Finest Hour,59744,nan,618725,22050,784d7f50a1179d0fad2e771d125fc749,0.2,0,8,0.812,-9.616,1,0.736,161.89
31,SOGNCJP12A58A80271,228326,Occasional Rain,ARB29H41187B98F0EF,41.8842,Chicago,-87.6324,Terry Callier,0,342.569,6,0.381,110.189,3,0.353,Do You Finally Need A Friend,1972,TRAACPE128F421C1B9,0.416173,44fd61e1-119c-479e-8301-8ac5c77148bf,43725,9947,Occasional Rain,228326,0.413739836,2503960,22050,1bcc5424889fa52e636b6ff801100c24,0.063,0,6,0.381,-11.939,1,0.538,333.154
32,SOLLHMX12AB01846DC,463514,The Emperor Falls,AR1Y2PT1187FB5B9CE,27.9402,Brandon,-82.3255,John Wesley,0,484.623,4,0.283,138.007,4,0.893,The Emperor Falls,0,TRAACQT128F9331780,0.452789,84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab,-1,343187,The Emperor Falls,463514,0.377531645,5158930,22050,cb3a96380f2084aa94f38ca0d473d847,28.172,0,4,0.283,-15.335,0,0.363,480.363
34,SOGXHEG12AB018653E,663761,20 Of Her Best,AR0RCMP1187FB3F427,30.0861,Beaumont TX,-94.1016,Billie Jo Spears,0,133.329,4,0.384,160.839,1,0,It Makes No Difference Now,1992,TRAACTB12903CAAF15,0.384611,615d51ca-3d06-43dc-b956-4d76099f4b5e,56462,16838,20 Of Her Best,663761,0,7357260,22050,8b99765c6ea21c447b787845282bd16b,0,0,4,0.384,-9.983,1,0.402,130.009
42,SONYRZV12AB018AF70,706005,A Match & Some Gasoline,ARWYVP51187B98C516,42.3317,Detroit MI,-83.0479,The Suicide Machines,0,95.6861,2,0.421,115.887,4,0.744,Burning In The Aftermath,2003,TRAADLH12903CA70EE,0.467538,c6d2cbdf-30e7-4233-a1b4-e892f116ada1,-1,240277,A Match & Some Gasoline,706005,0.528782481,7830060,22050,1471d168999432ec6360889940e3e0e1,0,0,2,0.421,-2.022,1,0.589,87.806
43,SONQBUB12A6D4F8ED0,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARFCUN31187B9AD578,51.5063,London England,-0.12714,The Rolling Stones,0,271.49,9,0.301,139.333,1,0,Angie (1993 Digital Remaster),0,TRAADLN128F14832E9,0.735766,b071f9fa-14b0-4217-8e97-eb41da73f598,10490,522,Jump Back - The Best Of The Rolling Stones_ '71-'93,42595,0.83449262,453879,22050,7bbefe182a5d8a70b5b72a64a14f6c1b,0.171,0,9,0.301,-10.358,0,0.392,263.784
46,SOTWVQT12A58A79650,557761,A Bothered Mind,AR7TTS41187B9B42D3,34.364,Oxford MS,-89.5188,R.L. Burnside,0,277.786,2,0,89.984,4,0,Glory Be,2004,TRAADMH128F9343E59,0.466629,355eed00-6c40-4d33-940a-600b2597407a,26588,6186,A Bothered Mind,557761,0.482137585,6169320,22050,ff6a3b61c73903e886d364ac05531d51,0.24,0,2,0,-6.944,1,0,267.453
47,SOTSEJY12AB0180F56,417945,Greatest Hits,ART3O5Z1187B9AB043,32.7781,Dallas TX,-96.7954,Stevie Ray Vaughan,0,248.79,1,0.754,116.721,4,0.522,Crossfire,1992,TRAADNA128F9331246,0.544258,f5426431-f490-4678-ad44-a75c71097bb4,9729,48814,Greatest Hits,417945,nan,4659070,22050,a77e2966eaa31170f28ece01fcee24b4,0.183,0,1,0.754,-7.805,1,0.597,246.19
49,SOTUNMH12A6D4FA3E6,234425,Etiquette,ARRJNTE1187FB44E12,0,,0,Casiotone For The Painfully Alone,0,175.725,0,0.522,141.919,4,0.445,Nashville Parthenon,2006,TRAADQX128F422B4CF,0.394217,73d882c7-1146-4012-a61b-a3b2c11fce2f,-1,48409,Etiquette,234425,0.785892288,2573760,22050,1bb9cb115bdcbad912cb3bea9facb2b8,0.734,0,0,0.522,-10.93,1,0.474,168.699
51,SOGKIWV12A6D4F86C4,74655,Too Much Too Soon,ARS1OWB1187B99EEAD,0,New York NY,0,The New York Dolls,0,344.058,11,0.425,154.953,1,0,Human Being,1974,TRAADVH128EF34DE7A,0.479308,1b96b9c9-0832-40cb-9f8d-7274de3733fc,5379,24313,Too Much Too Soon,74655,0.561692411,770031,22050,432aa5b29f21533b447d37363bab6705,0.068,0,11,0.425,-9.253,1,0.486,335.029
52,SOPHYIS12AAF3B35A3,322532,Bossa Nova Stories,ARGMXQW1187FB54C34,-23.5629,Sao Paulo Brazil,-46.6547,Eliane Elias,0,251.428,7,0.391,86.091,5,0.551,The More I See You,2009,TRAADYB128F92D7E73,0.427914,9974cbc1-6a00-4a97-8a36-e4a25bfe0293,14229,2800,Bossa Nova Stories,322532,0.43483809,3635000,22050,61c1d3f9dc9caf347132097986f1618d,0.071,0,7,0.391,-12.009,1,0.319,237.598
54,SOCPRKM12AB018A2FD,515081,Germicide,AR8W8DN1187FB35ED0,34.0535,Los Angeles CA,-118.245,The Germs,0,206.053,11,0.641,133.144,1,0,Forming,1977,TRAAEAM128F934B199,0.404393,42c4b58d-2e28-41d4-bfe5-4edee68386cf,-1,104787,Germicide,515081,nan,5714270,22050,94bd349c13024d5ac83064e4fed31fd7,0,0,11,0.641,-11.506,0,0.597,206.053
56,SODHVES12A6701CE6B,17220,The Road To Hell Part 2,AR3793X1187FB50CB3,0,Middlesbrough England,0,Chris Rea,0,241.162,9,0.222,180.149,4,0,Driving Home For Christmas,1986,TRAAEEH128E0795DFE,0.500691,c707b37e-cb5c-4694-be4d-46beefcb2475,-1,4010,The Road To Hell Part 2,17220,0.767727748,183976,22050,db40ea1ed032ccf190419babe51ef333,0.549,0,9,0.222,-8.531,1,0.403,230.342
57,SOXIATP12AAF3B2184,617077,Vanguard Visionaries,ARINEWW1187FB5577E,0,,0,Perrey And Kingsley,0,122.644,0,0.61,102.538,4,0.869,Spooks In Space,1966,TRAAELO128F9302DD1,0.338415,2f3532b3-febc-4ab2-8f97-fbeebbaa1fe7,-1,364953,Vanguard Visionaries,617077,0.43483809,6856220,22050,71d2fb37641b20f96955402be7eab02f,0.99,0,0,0.61,-8.541,0,0.489,109.627
58,SOGNQWU12A8AE4868F,278999,Be Yourself Tonight,ARDGB6U1187FB3AD07,51.5063,London England,-0.12714,Eurythmics,0,207.072,0,0.442,84.164,4,0.853,Tous Les GarÃŒÂ_ons Et Les Filles,1985,TRAAEMJ128F425A917,0.523699,b4d32cff-f19e-455f-86c4-f347d824ca61,576,3041,Be Yourself Tonight,278999,0.38293509,3107980,22050,6ad09a99e119960fe234a19e890f8742,2.583,0,0,0.442,-6.629,1,0.371,202.757
59,SOYQOFI12A6D4F76E1,19601,Hometown 2001,AR2J2WF1187FB46271,54.483,Egremont Cumbria England,-3.53444,Francis Dunnery,0,300.8,7,0.666,124.175,4,0.698,Too Much Saturn,1995,TRAAENC128F1451DE9,0.383524,211256ad-1a39-4bb9-a216-24a2d985343e,42151,13801,Hometown 2001,19601,0.610474258,205540,22050,7f6863d6bb4c426234987f1528300b57,0,0,7,0.666,-13.33,1,0.658,298.347
64,SOLGHDZ12AB0183B11,449471,Holy Roller Novocaine,ARF2EHS1187B994F4E,36.1678,Nashville Tennessee,-86.7784,Kings Of Leon,0,187.924,0,0.612,116.823,4,0.347,Wicker Chair,2003,TRAAEWG128F930B3A4,0.788806,6ffb8ea9-2370-44d8-b678-e9237bbd347b,1858,1246,Holy Roller Novocaine,449471,0.685940227,4989930,22050,2c5618de2a1419e40855a8454abcb6dc,0.328,0,0,0.612,-5.907,1,0.735,180.344
67,SOPIKEG12A58291636,104765,White Trash ......,AR06EB01187FB40150,0,Berkeley CA,0,NOFX,0,144.509,4,0.093,152.622,4,0.358,Stickin In My Eye,1992,TRAAFJW128F428A424,0.554291,dcaa4f81-bfb7-44eb-8594-4e74f004b6e4,11040,33328,White Trash ......,104765,0.671236027,1082140,22050,1a4d17798c506efdf4ed438cb65daa17,0.237,0,4,0.093,-7.787,0,0.423,140.057
69,SOSBDSF12AB0189007,509770,CanciÃŒ_n Animal,ARBJSO81187B9BA09B,0,,0,Soda Stereo,0,246.7,7,0.161,112.903,4,1,Entre CanÃŒ_bales,1990,TRAAFMS128F933AB23,0.466827,3f8a5e5b-c24b-4068-9f1c-afad8829e06b,2146,291580,CanciÃŒ_n Animal,509770,0.62616576,5646040,22050,c3eb59209b7ab456d884f0ca9155a878,0.322,0,7,0.161,-9.603,1,0.205,224.049
71,SOHMMMC12AB0181C42,466577,One World One People,ARNIFX51187FB418EA,0,,0,Xcultures,0,273.528,1,0.652,125.013,4,1,Sudanese Dance,2000,TRAAFRU128F9339158,0.266275,91a75913-4dbf-4496-bed1-7d4206c3ed22,-1,345476,One World One People,466577,0.199238262,5190140,22050,678ee0558c50b3605a878cb1149b8a6c,2.177,0,1,0.652,-6.305,1,0.694,268.893
74,SOLRYQR12A670215BF,7133,The Best Of Both Worlds,ARNLO5S1187B9B80CC,0,Pasadena CA,0,Van Halen,0,209.293,8,0.455,140.995,1,0.41,Panama (Remastered Album Version),0,TRAAFYL128E07856A7,0.579989,b665b768-0d83-4363-950c-31ed39317c15,54598,4741,The Best Of Both Worlds,7133,0.82448213,72173,22050,7dfecc8c2cb0171084e499f3f553c7cf,0,0,8,0.455,-4.865,1,0.48,206.623
75,SOCHRXB12A8AE48069,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARTDQRC1187FB4EFD4,0,Los Angeles CA,0,Black Eyed Peas,0,229.616,11,0.205,105.206,4,1,Let's Get It Started,2004,TRAAGCZ128F93210FD,1.00594,d5be5333-4171-427e-8e12-732087c6b78e,21628,15260,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,358442,0.624425493,3999070,22050,5304dd382803b40a2eccc0b617afad82,0,0,11,0.205,-4.882,0,0.332,213.664
76,SOKBBXO12A6701DEA0,15567,Things Falling Apart,ARK9TRQ1187B99C095,41.5047,Cleveland OH,-81.6907,Nine Inch Nails,0,426.893,0,0.05,63.017,4,0.378,Metal,2000,TRAAGEC128E079252C,0.598459,b7ffd2af-418f-4be2-bdd1-22f8b48613da,-1,7338,Things Falling Apart,15567,0.635536649,163543,22050,ce020c3664096562bec86adc6eddd862,0.286,0,0,0.05,-12.951,0,0.395,399.9
79,SOOOROX12A6D4F8400,26902,60's Triple set,ARWY7I71187FB36C3D,40.7146,New York NY,-74.0071,Lesley Gore,0,136.489,9,0.386,129.122,1,0,It's My Party,1963,TRAAGJV128F1464090,0.389101,7f565c58-cf5d-441b-821f-c314ddf60c99,-1,14043,60's Triple set,26902,nan,292256,22050,67ca96689f499db63352c7cb15a82b44,0.229,0,9,0.386,-9.091,1,0.632,130.026
86,SOTUBVH12AB018D2EC,682725,Country Lovers. Vol. 3,ARF4V431187FB3AA41,27.9465,Tampa FL,-82.4593,Slim Whitman,0,195.918,3,0.883,91.487,4,0,Indian Love Call,1990,TRAAGPF12903CE027E,0.386669,5c1262e2-cb86-4dc9-8acf-781ff4523192,59829,11535,Country Lovers. Vol. 3,682725,nan,7576960,22050,4bf3e42080e6a97cd1a555eff69a714a,0.165,0,3,0.883,-11.98,1,0.735,192.087
87,SOMQAGT12A8C132DB4,287804,Affirmation,ARBGWMW1187B9AEA3E,0,CA,0,Savage Garden,0,118.334,9,0,84.69,5,0.678,You Can Still Be Free,1999,TRAAGPH128F4273C8D,0.53807,a871fd87-50f7-4032-b06d-da56779edcce,1397,21235,Affirmation,287804,nan,3228950,22050,4fff121876c0b80f09157c9028af2a7b,0,0,9,0,-11.215,0,0,118.334
88,SOKLLOH12A67020F2C,220917,Lullabies To Paralyze,AR6G4V01187B9AD086,0,,0,Queens Of The Stone Age,0,288.418,2,0.08,115.606,4,0,I Never Came,2005,TRAAGPJ128F428CD1B,0.552413,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,-1,5845,Lullabies To Paralyze,220917,0.725121284,2417200,22050,343fb42e35d36386fc5ae5858dfa2cc2,0.113,0,2,0.08,-8.165,1,0.665,279.179
95,SORWHWY12A6702038E,8552,Malpractice,ARXWAQQ1187B9AE954,0,Newark NJ,0,Redman,0,124.186,1,0.074,85.008,5,1,WKYA (drop),2001,TRAAHEG128E07861C3,0.493567,1f1f6737-b930-46fc-8d25-110bb99f7490,-1,368,Malpractice,8552,0.57010593,86269,22050,4a953b42bfeb5440d2ec314a7818dd30,0,0,1,0.074,-10.296,0,0.492,121.005
100,SOBLTSM12A6D4F9EEA,225610,Staying on the Watch,ARDD9UN1187B98D3A7,31.8467,Sicily Island LA,-91.657,Sonny Simmons,0,443.245,1,0,45.527,4,0,A Distant Voice,0,TRAAHKE128F421389B,0.317834,83d5d2c1-674b-4b8b-b47f-0e7e2e42e850,-1,48089,Staying on the Watch,225610,0.270775999,2468310,22050,ccd00c7477f01f4c8375b9d5b7017119,0.23,0,1,0,-13.002,1,0.051,430.736
105,SODLSHA12AAF3B29F2,432406,From All Sides,AR1RHCO1187B9AF0BF,37.7792,San Francisco CA,-122.42,Vince Guaraldi / Bola Sete,0,294.661,5,0.238,168.307,4,0,Choro,0,TRAAHVY128F92E25D6,0.414893,05b5488d-7141-4b21-819b-d4713abf2a98,8349,4822,From All Sides,432406,0.386790177,4819510,22050,3ad40aace9a1b7909657198b3e01b751,0.864,0,5,0.238,-15.761,0,0.07,282.564
109,SOGQTRZ12A8C13C8B0,307618,Timeless,ARF3GX71187FB3EB66,0,Medicine Lodge KS,0,Martina McBride,0,261.955,7,0.96,100.194,3,1,I Can't Stop Loving You,2005,TRAAIAE128F42AC53D,0.628246,b0a55bd8-60c7-45c1-b78e-f20e4c8adba1,7085,2183,Timeless,307618,0.488289876,3464360,22050,90e07d5cb1366b0aa0685177921c5c84,0,0,7,0.96,-13.627,1,0.634,253.452
110,SOBHVZQ12AC9618285,784530,Feel Good All Over: Anthology 1970-1976,AR3PN3R1187FB4CEBD,18.0157,Kingston Jamaica,-76.7973,Horace Andy,0,176.274,2,0.171,151.911,4,0.231,Thank You Lord,1985,TRAAIAN12903CFF16D,0.374271,2027b08d-45b1-4fb5-aa6d-f6ccc4db78e5,8567,7911,Feel Good All Over: Anthology 1970-1976,784530,nan,8679510,22050,50b5fb243213179f0bb2510a93ff2c48,0.183,0,2,0.171,-11.479,1,0.239,166.911
113,SOOGQWR12A8C142505,372122,Final Vinyl,AREOGMA1187B9908EF,37.7792,San Francisco CA,-122.42,Hot Tuna,0,239.595,0,0.601,172.398,1,0,Candy Man,1971,TRAAIDY128F92CA454,0.405178,d13d9feb-b7c7-49f4-9b72-65e29a16aa24,14246,50205,Final Vinyl,372122,nan,4141630,22050,761d56a1c2ca3cd41c6c63a42abb41a0,0.31,0,0,0.601,-9.275,1,0.563,231.3
116,SOFRAZJ12A8C143CDB,523481,Legacy,ARR9XGB1187B9912E6,0,Philadelphia PA,0,Boyz II Men,0,329.273,8,0.497,116.473,4,1,On Bended Knee,1994,TRAAIHL128F92E6DDA,0.601185,b42eca0f-9381-43db-badb-1cba080a7dc2,2800,1566,Legacy,523481,0.345802234,5784760,22050,de9c5e4839965bbdd3890528ed29ce14,0.45,0,8,0.497,-7.103,1,0.491,322.101
124,SOCHXAE12AF72A25D6,722546,White Feather,ARDF8K01187FB37200,0,Sydney Australia,0,Wolfmother,0,212.375,4,0.372,110.745,4,1,White Feather,2009,TRAAIYR12903CD290D,0.566972,f0c8f75f-8736-4b1d-b312-9349fcff321d,-1,7487,White Feather,722546,nan,8009170,22050,9b08f4dbc1bdbcfc83c6f2ed23ddecbd,0.868,0,4,0.372,-5.931,0,0.207,209.438
131,SOOGNJP12A8C1381AD,293668,Underneath,ARQOC971187B9910FA,42.7338,Lansing MI,-84.5933,The Verve Pipe,0,292.832,9,0.295,133.306,4,0.338,Medicate Myself,2001,TRAAJJG128F4284B27,0.498395,28f93e8a-43fa-4cfb-aea5-11252ff937ab,3093,11661,Underneath,293668,0.466304831,3299590,22050,c62eba5743cfd2c0b82e0becdbccf4d3,3.344,0,9,0.295,-4.953,1,0.196,273.589
132,SOFUBCP12A8C13D5EF,117983,99 Monkeys,AR19SOA1187B98F6E6,40.7146,New York,-74.0071,Bob Neuwirth,0,241.11,4,0.965,152.267,3,1,Biding Her Time,1990,TRAAJJV128F42A2F99,0.301502,31dc0d7a-14f1-4b3e-8e73-a63d7e015dc6,41096,11737,99 Monkeys,117983,0.480610618,1213910,22050,c58579d05ee1802da43d6a6ebf37e9a3,2.659,0,4,0.965,-18.114,1,0.744,230.429
138,SORWXUP12A58A79E65,276924,Best Of Maxi Priest,ARI0PUX1187FB3F215,54.3139,Great Britain / UK,-2.23218,Maxi Priest,0,301.818,10,0.683,61.971,1,0.397,Groovin' In The Midnight,1991,TRAAJYX128F4255568,0.446891,fc6548d9-cc7e-4311-bd6c-6eba9c0cd06f,61410,7148,Best Of Maxi Priest,276924,0.345802234,3086490,22050,b9adb474d85e44ff5c119ec7e2ff35a0,2.566,0,10,0.683,-8.095,0,0.549,289.332
139,SOJEVZW12A8C133988,193554,Signify (Special Edition),ARYO9BU1187B9ADA88,0,,0,Porcupine Tree,0,416.809,6,0.644,124.04,5,0.82,Waiting,1997,TRAAKAS128F4246013,0.507966,169c4c28-858e-497b-81a4-8bc15e0026ea,9392,4549,Signify (Special Edition),193554,0.82517354,2104620,22050,9cbac49e24c47caf9e821673101ebb67,0,0,6,0.644,-7.982,0,0.607,396.533
141,SODOLVO12B0B80B2F4,440990,In Your Honor,AR6XPWV1187B9ADAEB,0,Seattle WA,0,Foo Fighters,0,117.002,7,0.458,152.127,4,0.651,Hell,2005,TRAAKDF128F92FA302,0.550762,67f66c07-6e61-4026-ade5-7e782fad3a5d,631,8293,In Your Honor,440990,nan,4918910,22050,0783711c85aed310ab5c875dd32509e0,0,0,7,0.458,-5.699,1,0.44,114.712
142,SOEHWGF12A6D4F8B2B,302176,Essential R&B Hit Selection,AR6PJ8R1187FB5AD70,0,Barranquilla Colombia,0,Shakira Featuring Wyclef Jean,0,217.364,10,0.805,100.023,4,0.937,Hips Don't Lie (featuring Wyclef Jean),0,TRAAKDG128F42A0ECB,0.682263,bf24ca37-25f4-4e34-9aec-460b94364cfc,1424,21239,Essential R&B Hit Selection,302176,0.73738531,3416530,22050,bb87389eec1ef94e8f25cd363949f441,0.224,0,10,0.805,-5.152,0,0.688,212.161
147,SOFBQIA12AB0182219,512234,Gira Me VerÃŒÃÅs Volver,ARBJSO81187B9BA09B,0,,0,Soda Stereo,0,225.123,11,0,175.421,1,0,Te Hacen Falta Vitaminas,1984,TRAAKTK128F9343DCC,0.466827,3f8a5e5b-c24b-4068-9f1c-afad8829e06b,2146,291580,Gira Me VerÃŒÃÅs Volver,512234,nan,5683640,22050,2cce7fac89f98f1434746420dead0577,0,0,11,0,-3.818,0,0.036,203.593
156,SOXCWTT12AC9075756,785362,Pentagrammaton,ARZEWUR1187FB53DC8,50.4566,Belgica -- Namur Namur/Ghent East Flanders,4.87137,Enthroned,0,240.744,2,0.735,135.535,7,0.583,The Vitalized Shell,2010,TRAALNG12903D014E9,0.39571,0be59867-0da4-4e45-9b64-728cdf25487c,55656,74269,Pentagrammaton,785362,0.543052864,8688590,22050,c5aa4f7222ee542e573441589d41ae86,0,0,2,0.735,-4.878,0,0.838,240.744
157,SOAFIPD12A8C13A261,298921,Pianissimo,AR89DTT1187B9A7ED5,37.7792,California - SF,-122.42,Suzanne Ciani,0,192.209,2,0.523,139.189,3,0.418,Mozart,1989,TRAALRZ128F429024E,0.380705,2ce96399-f6da-439f-af3a-f319ebe2074c,22282,1647,Pianissimo,298921,0.608500079,3347580,22050,43dcbface8490602d23c28b62b0d3731,0.357,0,2,0.523,-23.988,1,0.537,183.229
160,SOEVGMZ12A8C1421B5,474726,Heaven,ARYJSY01187B9B7C65,0,Locust Ridge TN,0,Dolly Parton,0,155.219,7,0,114.027,3,1,Letter To Heaven,1971,TRAALZC128F92E11A6,0.603876,1d543e07-d0d2-4834-a8db-d65c50c2a856,493,2199,Heaven,474726,nan,5273050,22050,74a6720f987262a284c41e306b2123a4,0,0,7,0,-11.965,0,0.181,147.673
162,SOHTWLT12A8C13CFE1,307651,Pearl Jam,ARFVYJI1187B9B8E13,47.6036,Seattle WA,-122.329,Pearl Jam,0,428.564,4,0.743,105.994,3,1,Inside Job,2006,TRAAMES128F42AF068,0.607972,83b9cbe7-9857-49e2-ab8e-b57b01038103,1252,1244,Pearl Jam,307651,0.659304669,3475410,22050,8a45e57e7de179def87adcd3f6c87876,4.267,0,4,0.743,-8.403,0,0.727,414.697
167,SOSGXRU12AAF3B2B07,528941,The Best of DJ Quik - Da Finale,AROTIMO1187FB532BF,0,Compton CA,0,DJ Quik,0,205.583,7,0.025,181.115,4,0.701,Born and Raised In Compton,1991,TRAAMJY128F92F5919,0.413394,542f4f08-4d8f-48db-a414-d3a33a62929f,7070,1915,The Best of DJ Quik - Da Finale,528941,nan,5845780,22050,7842a4d5d8e2cd36045b7736e6e47e25,0,0,7,0.025,-6.998,0,0.312,202.931
168,SOFRUDU12A8C13A40C,293622,RCA Country Legends,AR0X3JJ1187FB3A9A7,0,McLellan FL,0,Hank Locklin,0,127.059,2,0.826,148.357,4,0.097,We're Gonna Go Fishin',0,TRAAMKI128F428537A,0.379437,c8d0d74b-80eb-4746-8cea-f5df78b4b90c,16411,2090,RCA Country Legends,293622,0.494489518,3301720,22050,a3ad479a5fd961c2122c0c79622ed703,0.322,0,2,0.826,-12.772,1,0.936,114.724
